Brand channel,Category,Channel,Country,Link,Primary language,Rank,F1,Subscribers (millions)
Yes,Music,T-Series,India,Link,Hindi[7][8],1,0,238
Yes,Education,Cocomelon,United States,Link,English,2,1,155
Yes,Entertainment,Sony Entertainment Television India,India,Link,Hindi[9],3,2,153
No,Entertainment,MrBeast,United States,Link,English,4,3,137
No,Games,PewDiePie,Sweden,Link,English,5,4,111
Yes,Entertainment,Kids Diana Show,Ukraine,Link,English[10][11][12],6,5,109
No,Entertainment,Like Nastya,United States,Link,English,7,6,105
No,Entertainment,Vlad and Niki,Russia,Link,English,8,7,94.9
Yes,Sports,WWE,United States,Link,English,9,8,93.8
Yes,Music,Zee Music Company,India,Link,Hindi[13][14],10,9,93.4
Yes,Music,Blackpink,South Korea,Link,Korean,11,10,84.8
Yes,Film,Goldmines,India,Link,Hindi,12,11,83.3
Yes,How-to,5-Minute Crafts,Cyprus[a],Link,English,13,12,79.2
Yes,Entertainment,Sony SAB,India,Link,Hindi,14,13,78.2
No,Music,BangtanTV,South Korea,Link,Korean,15,14,73.9
No,Music,Justin Bieber,Canada,Link,English,16,15,71.1
Yes,Music,Hybe Labels,South Korea,Link,Korean,17,16,69.5
Yes,Music,Canal KondZilla,Brazil,Link,Portuguese,18,17,66.4
Yes,Entertainment,Zee TV,India,Link,Hindi,19,18,66.3
Yes,Education,Pinkfong,South Korea,Link,English,20,19,66.1
Yes,Music,Shemaroo Entertainment,India,Link,Hindi,21,20,64.2
Yes,Education,ChuChu TV,India,Link,Hindi[16],22,21,63.2
Yes,Entertainment,Colors TV,India,Link,Hindi,23,22,60.6
No,Sports,Dude Perfect,United States,Link,English,24,23,59
Yes,Film,Movieclips,United States,Link,English,25,24,58.8
Yes,Music,T-Series Bhakti Sagar,India,Link,Hindi,26,25,58.4
Yes,Entertainment,Tips Industries,India,Link,Hindi,27,26,57.3
Yes,Music,Wave Music,India,Link,Bhojpuri,28,27,56.6
No,Music,Marshmello,United States,Link,English,29,28,56.2
Yes,Music,Sony Music India,India,Link,Hindi,30,29,56.1
Yes,Music,El Reino Infantil,Argentina,Link,Spanish,31,30,56
Yes,News,Aaj Tak,India,Link,Hindi,32,31,55.9
No,Music,Eminem,United States,Link,English,33,32,55.6
Yes,Music,LooLoo Kids,Romania,Link,English,34,33,53.1
No,Music,Ed Sheeran,United Kingdom,Link,English,35,34,53
Yes,Music,Yash Raj Films,India,Link,Hindi,36,35,52.7
No,Music,Ariana Grande,United States,Link,English,37,36,52.4
No,Music,Taylor Swift,United States,Link,English,38,37,51.1
Yes,Entertainment,BillionSurpriseToys,United States,Link,English,39,38,50.6
Yes,Education,Infobells,India,Link,Hindi,40,39,49.8
No,Games,JuegaGerman,Chile,Link,Spanish,41,40,47.6
No,Music,Billie Eilish,United States,Link,English,42,41,47.4
Yes,Entertainment,Badabun,Mexico,Link,Spanish,43,42,46.5
No,Games,Fernanfloo,El Salvador,Link,Spanish,44,43,45.7
No,Music,Bad Bunny,United States ( Puerto Rico),Link,Spanish,45,44,45.4
Yes,Music,SonyMusicIndiaVEVO,India,Link,Hindi,46,45,45.4
Yes,Entertainment,Shemaroo,India,Link,Hindi,47,46,45.2
Yes,Entertainment,Get Movies,Russia,Link,Russian,48,47,45
No,Entertainment,Felipe Neto,Brazil,Link,Portuguese,49,48,44.9
No,Entertainment,A4,Belarus,Link,Russian,50,49,44.6
"As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC",,50,
